data,stato,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2020-04-11 17:00:00,ITA,28144,3381,31525,68744,100269,1996,4694,32534,19468,,,152271,963473,,,,,,,,,
2020-04-12 17:00:00,ITA,27847,3343,31190,71063,102253,1984,4092,34211,19899,,,156363,1010193,,dc-IT-0003,,,,,,,
2020-04-13 17:00:00,ITA,28023,3260,31283,72333,103616,1363,3153,35435,20465,,,159516,1046910,,,,,,,,,
2020-04-14 17:00:00,ITA,28011,3186,31197,73094,104291,675,2972,37130,21067,,,162488,1073689,,,,,,,,,
2020-04-15 17:00:00,ITA,27643,3079,30722,74696,105418,1127,2667,38092,21645,,,165155,1117404,,dc-IT-0005,,,,,,,
2020-04-16 17:00:00,ITA,26893,2936,29829,76778,106607,1189,3786,40164,22170,,,168941,1178403,,,,,,,,,
2020-04-17 17:00:00,ITA,25786,2812,28598,78364,106962,355,3493,42727,22745,,,172434,1244108,,,,,,,,,
2020-04-18 17:00:00,ITA,25007,2733,27740,80031,107771,809,3491,44927,23227,,,175925,1305833,,,,,,,,,
2020-04-19 17:00:00,ITA,25033,2635,27668,80589,108257,486,3047,47055,23660,,,178972,1356541,935310.0,,,,,,,,
2020-04-20 17:00:00,ITA,24906,2573,27479,80758,108237,-20,2256,48877,24114,,,181228,1398024,943151.0,dc-IT-0007,,,,,,,
2020-04-21 17:00:00,ITA,24134,2471,26605,81104,107709,-528,2729,51600,24648,,,183957,1450150,971246.0,pd-IT-0013,,,,,,,
2020-04-22 17:00:00,ITA,23805,2384,26189,81510,107699,-10,3370,54543,25085,,,187327,1513251,1015494.0,,,,,,,,
2020-04-23 17:00:00,ITA,22871,2267,25138,81710,106848,-851,2646,57576,25549,,,189973,1579909,1052577.0,pd-IT-0015;pd-IT-0017,,,,,,,
2020-04-24 17:00:00,ITA,22068,2173,24241,82286,106527,-321,3021,60498,25969,,,192994,1642356,1147850.0,dc-IT-0009;dc-IT-0011,,,,,,,
2020-04-25 17:00:00,ITA,21533,2102,23635,82212,105847,-680,2357,63120,26384,,,195351,1707743,1186526.0,,,,,,,,
2020-04-26 17:00:00,ITA,21372,2009,23381,82722,106103,256,2324,64928,26644,,,197675,1757659,1210639.0,dc-IT-0013,,,,,,,
2020-04-27 17:00:00,ITA,20353,1956,22309,83504,105813,-290,1739,66624,26977,,,199414,1789662,1237317.0,,,,,,,,
2020-04-28 17:00:00,ITA,19723,1863,21586,83619,105205,-608,2091,68941,27359,,,201505,1846934,1274871.0,,,,,,,,
2020-04-29 17:00:00,ITA,19210,1795,21005,83652,104657,-548,2086,71252,27682,,,203591,1910761,1313460.0,,,,,,,,
2020-04-30 17:00:00,ITA,18149,1694,19843,81708,101551,-3106,1872,75945,27967,,,205463,1979217,1354901.0,,,,,,,,
2020-05-01 17:00:00,ITA,17569,1578,19147,81796,100943,-608,1965,78249,28236,,,207428,2053425,1398633.0,dc-IT-0015,,,,,,,
2020-05-02 17:00:00,ITA,17357,1539,18896,81808,100704,-239,1900,79914,28710,,,209328,2108837,1429864.0,dc-IT-0017,,,,,,,
2020-05-03 17:00:00,ITA,17242,1501,18743,81436,100179,-525,1389,81654,28884,,,210717,2153772,1456911.0,,,,,,,,
2020-05-04 17:00:00,ITA,16823,1479,18302,81678,99980,-199,1221,82879,29079,,,211938,2191403,1479910.0,dc-IT-0019,,,,,,,
2020-05-05 17:00:00,ITA,16270,1427,17697,80770,98467,-1513,1075,85231,29315,,,213013,2246666,1512121.0,,,,,,,,
2020-05-06 17:00:00,ITA,15769,1333,17102,74426,91528,-6939,1444,93245,29684,,,214457,2310929,1549892.0,dc-IT-0021,,,,,,,
2020-05-07 17:00:00,ITA,15174,1311,16485,73139,89624,-1904,1401,96276,29958,,,215858,2381288,1563557.0,dc-IT-0023,,,,,,,
2020-05-08 17:00:00,ITA,14636,1168,15804,72157,87961,-1663,1327,99023,30201,,,217185,2445063,1608985.0,dc-IT-0025,,,,,,,
2020-05-09 17:00:00,ITA,13834,1034,14868,69974,84842,-3119,1083,103031,30395,,,218268,2514234,1645076.0,,,,,,,,
2020-05-10 17:00:00,ITA,13618,1027,14645,68679,83324,-1518,802,105186,30560,,,219070,2565912,1676460.0,,,,,,,,
2020-05-11 17:00:00,ITA,13539,999,14538,67950,82488,-836,744,106587,30739,,,219814,2606652,1702283.0,,,,,,,,
2020-05-12 17:00:00,ITA,12865,952,13817,67449,81266,-1222,1402,109039,30911,,,221216,2673655,1741903.0,dc-IT-0027,,,,,,,
2020-05-13 17:00:00,ITA,12172,893,13065,65392,78457,-2809,888,112541,31106,,,222104,2735628,1778952.0,,,,,,,,
2020-05-14 17:00:00,ITA,11453,855,12308,64132,76440,-2017,992,115288,31368,,,223096,2807504,1820083.0,dc-IT-0029,,,,,,,
2020-05-15 17:00:00,ITA,10792,808,11600,60470,72070,-4370,789,120205,31610,,,223885,2875680,1859110.0,dc-IT-0031,,,,,,,
2020-05-16 17:00:00,ITA,10400,775,11175,59012,70187,-1883,875,122810,31763,,,224760,2944859,1899767.0,,,,,,,,
2020-05-17 17:00:00,ITA,10311,762,11073,57278,68351,-1836,675,125176,31908,,,225435,3004960,1933272.0,,,,,,,,
2020-05-18 17:00:00,ITA,10207,749,10956,55597,66553,-1798,451,127326,32007,,,225886,3041366,1959373.0,pd-IT-0019,,,,,,,
2020-05-19 17:00:00,ITA,9991,716,10707,54422,65129,-1424,813,129401,32169,,,226699,3104524,1999599.0,dc-IT-0033,,,,,,,
2020-05-20 17:00:00,ITA,9624,676,10300,52452,62752,-2377,665,132282,32330,,,227364,3171719,2038216.0,,,,,,,,
2020-05-21 17:00:00,ITA,9269,640,9909,51051,60960,-1792,642,134560,32486,,,228006,3243398,2078860.0,,,,,,,,
2020-05-22 17:00:00,ITA,8957,595,9552,49770,59322,-1638,652,136720,32616,,,228658,3318778,2121847.0,,,,,,,,
2020-05-23 17:00:00,ITA,8695,572,9267,48485,57752,-1570,669,138840,32735,,,229327,3391188,2164426.0,,,,,,,,
2020-05-24 17:00:00,ITA,8613,553,9166,47428,56594,-1158,531,140479,32785,,,229858,3447012,2198632.0,pd-IT-0021,,,,,,,
2020-05-25 17:00:00,ITA,8185,541,8726,46574,55300,-1294,300,141981,32877,,,230158,3482253,2219308.0,dc-IT-0035,,,,,,,
2020-05-26 17:00:00,ITA,7917,521,8438,44504,52942,-2358,397,144658,32955,,,230555,3539927,2253252.0,,,,,,,,
2020-05-27 17:00:00,ITA,7729,505,8234,42732,50966,-1976,584,147101,33072,,,231139,3607251,2290551.0,,,,,,,,
2020-05-28 17:00:00,ITA,7379,489,7868,40118,47986,-2980,593,150604,33142,,,231732,3683144,2330389.0,,,,,,,,
2020-05-29 17:00:00,ITA,7094,475,7569,38606,46175,-1811,516,152844,33229,,,232248,3755279,2368622.0,dc-IT-0037,,,,,,,
2020-05-30 17:00:00,ITA,6680,450,7130,36561,43691,-2484,416,155633,33340,,,232664,3824621,2404673.0,nd-IT-0016,,,,,,,
2020-05-31 17:00:00,ITA,6387,435,6822,35275,42097,-1594,355,157507,33415,,,233019,3878739,2433621.0,pd-IT-0023,,,,,,,
2020-06-01 17:00:00,ITA,6099,424,6523,34844,41367,-730,178,158355,33475,,,233197,3910133,2451674.0,,,,,,,,
2020-06-02 17:00:00,ITA,5916,408,6324,33569,39893,-1474,318,160092,33530,,,233515,3962292,2477302.0,,,,,,,,
2020-06-03 17:00:00,ITA,5742,353,6095,33202,39297,-596,321,160938,33601,,,233836,3999591,2497337.0,,,,,,,,
2020-06-04 17:00:00,ITA,5503,338,5841,32588,38429,-868,177,161895,33689,,,234013,4049544,2524788.0,dc-IT-0039,,,,,,,
2020-06-05 17:00:00,ITA,5301,316,5617,31359,36976,-1453,518,163781,33774,,,234531,4114572,2565258.0,,,,,,,,
2020-06-06 17:00:00,ITA,5002,293,5295,30582,35877,-1099,270,165078,33846,,,234801,4187057,2599294.0,,,,,,,,
2020-06-07 17:00:00,ITA,4864,287,5151,30111,35262,-615,197,165837,33899,,,234998,4236535,2627188.0,,,,,,,,
2020-06-08 17:00:00,ITA,4729,283,5012,29718,34730,-532,280,166584,33964,,,235278,4263647,2643489.0,,,,,,,,
2020-06-09 17:00:00,ITA,4581,263,4844,28028,32872,-1858,283,168646,34043,,,235561,4318650,2675689.0,dc-IT-0041;dc-IT-0043,,,,,,,
2020-06-10 17:00:00,ITA,4320,249,4569,27141,31710,-1162,202,169939,34114,,,235763,4381349,2713554.0,,,,,,,,
2020-06-11 17:00:00,ITA,4131,236,4367,26270,30637,-1073,379,171338,34167,,,236142,4443821,2746545.0,,,,,,,,
2020-06-12 17:00:00,ITA,3893,227,4120,24877,28997,-1640,163,173085,34223,,,236305,4514441,2784196.0,dc-IT-0045;dc-IT-0047,,,,,,,
2020-06-13 17:00:00,ITA,3747,220,3967,23518,27485,-1512,346,174865,34301,,,236651,4564191,2817076.0,dc-IT-0049,,,,,,,
2020-06-14 17:00:00,ITA,3594,209,3803,22471,26274,-1211,338,176370,34345,,,236989,4620718,2846621.0,,,,,,,,
2020-06-15 17:00:00,ITA,3489,207,3696,22213,25909,-365,303,177010,34371,,,237290,4648825,2864084.0,dc-IT-0051,,,,,,,
2020-06-16 17:00:00,ITA,3301,177,3478,21091,24569,-1340,210,178526,34405,,,237500,4695707,2891846.0,,,,,,,,
2020-06-17 17:00:00,ITA,3113,163,3276,20649,23925,-644,329,179455,34448,,,237828,4773408,2925803.0,dc-IT-0053,,,,,,,
2020-06-18 17:00:00,ITA,2867,168,3035,20066,23101,-824,333,180544,34514,,,238159,4831562,2958724.0,dc-IT-0055,,,,,,,
2020-06-19 17:00:00,ITA,2632,161,2793,18750,21543,-1558,251,181907,34561,,,238011,4889103,2987294.0,dc-IT-0057;dc-IT-0059,,,,,,,
2020-06-20 17:00:00,ITA,2474,152,2626,18586,21212,-331,262,182453,34610,,,238275,4943825,3017169.0,dc-IT-0061;dc-IT-0063,,,,,,,
2020-06-21 17:00:00,ITA,2314,148,2462,18510,20972,-240,224,182893,34634,,,238499,4984370,3041750.0,,,,,,,,
2020-06-22 17:00:00,ITA,2038,127,2165,18472,20637,-335,218,183426,34657,,,238720,5013342,3057902.0,dc-IT-0065,,,,,,,
2020-06-23 17:00:00,ITA,1853,115,1968,17605,19573,-1064,122,184585,34675,,,238833,5053827,3081127.0,dc-IT-0067;dc-IT-0069,,,,,,,
2020-06-24 17:00:00,ITA,1610,107,1717,16938,18655,-918,190,186111,34644,,,239410,5107093,3111364.0,dc-IT-0071,,,,,,,
2020-06-25 17:00:00,ITA,1515,103,1618,16685,18303,-352,296,186725,34678,223905.0,15801.0,239706,5163154,3140785.0,,,,,,,,
2020-06-26 17:00:00,ITA,1356,105,1461,16177,17638,-665,259,187615,34708,223440.0,16521.0,239961,5215922,3169116.0,,,,,,,,
2020-06-27 17:00:00,ITA,1260,97,1357,15479,16836,-802,175,188584,34716,223262.0,16874.0,240136,5277273,3198837.0,,,,,,,,
2020-06-28 17:00:00,ITA,1160,98,1258,15423,16681,-155,174,188891,34738,223272.0,17038.0,240310,5314619,3220020.0,,,,,,,,
2020-06-29 17:00:00,ITA,1120,96,1216,15280,16496,-185,126,189196,34744,223254.0,17182.0,240436,5341837,3235504.0,,,,,,,,
2020-06-30 17:00:00,ITA,1090,93,1183,14380,15563,-933,142,190248,34767,222901.0,17677.0,240578,5390110,3263975.0,,,,,,,,
2020-07-01 17:00:00,ITA,1025,87,1112,14143,15255,-308,187,190717,34788,222564.0,18196.0,240760,5445476,3293300.0,,,,,,,,
2020-07-02 17:00:00,ITA,963,82,1045,14015,15060,-195,201,191083,34818,222464.0,18497.0,240961,5498719,3322447.0,,,,,,,,
2020-07-03 17:00:00,ITA,956,79,1035,13849,14884,-176,223,191467,34833,222430.0,18754.0,241184,5548815,3348127.0,,,,,,,,
2020-07-04 17:00:00,ITA,940,71,1011,13610,14621,-263,235,191944,34854,222324.0,19095.0,241419,5600826,3377073.0,,,,,,,,
2020-07-05 17:00:00,ITA,945,74,1019,13623,14642,21,192,192108,34861,222368.0,19243.0,241611,5638288,3398239.0,,,,,,,,
2020-07-06 17:00:00,ITA,946,72,1018,13691,14709,67,208,192241,34869,222410.0,19409.0,241819,5660454,3412010.0,,,,,,,,
2020-07-07 17:00:00,ITA,940,70,1010,13232,14242,-467,138,192815,34899,222292.0,19664.0,241956,5703673,3434500.0,,,,,,,,
2020-07-08 17:00:00,ITA,899,71,970,12625,13595,-647,193,193640,34914,222145.0,20004.0,242149,5754116,3463179.0,,,,,,,,
2020-07-09 17:00:00,ITA,871,69,940,12519,13459,-136,229,193978,34926,222106.0,20257.0,242363,5806668,3493126.0,,,,,,,,
2020-07-10 17:00:00,ITA,844,65,909,12519,13428,-31,276,194273,34938,222079.0,20560.0,242639,5854621,3520377.0,,,,,,,,
2020-07-11 17:00:00,ITA,826,67,893,12410,13303,-125,188,194579,34945,221994.0,20833.0,242827,5900552,3545826.0,,,,,,,,
2020-07-12 17:00:00,ITA,776,68,844,12335,13179,-124,234,194928,34954,222036.0,21025.0,243061,5938811,3568887.0,,,,,,,,
2020-07-13 17:00:00,ITA,768,65,833,12324,13157,-22,169,195106,34967,222074.0,21156.0,243230,5962744,3582893.0,,,,,,,,
2020-07-14 17:00:00,ITA,777,60,837,12082,12919,-238,114,195441,34984,222053.0,21291.0,243344,6004611,3607115.0,,,,,,,,
2020-07-15 17:00:00,ITA,797,57,854,11639,12493,-426,163,196016,34997,222075.0,21431.0,243506,6053060,3635507.0,,,,,,,,
2020-07-16 17:00:00,ITA,750,53,803,11670,12473,-20,230,196246,35017,222079.0,21657.0,243736,6103492,3663596.0,,,,,,,,
2020-07-17 17:00:00,ITA,771,50,821,11635,12456,-17,233,196483,35028,222072.0,21895.0,243967,6154259,3692257.0,,,,,,,,
2020-07-18 17:00:00,ITA,757,50,807,11561,12368,-88,249,196806,35042,222138.0,22078.0,244216,6202524,3719826.0,,,,,,,,
2020-07-19 17:00:00,ITA,743,49,792,11648,12440,72,219,196949,35045,222180.0,22254.0,244434,6238049,3740447.0,,,,,,,,
2020-07-20 17:00:00,ITA,745,47,792,11612,12404,-36,190,197162,35058,222212.0,22412.0,244624,6262302,3754568.0,,,,,,,,
2020-07-21 17:00:00,ITA,732,49,781,11467,12248,-156,129,197431,35073,222232.0,22520.0,244752,6305412,3778483.0,,,,,,,,
2020-07-22 17:00:00,ITA,724,48,772,11550,12322,74,282,197628,35082,222220.0,22812.0,245032,6354730,3807771.0,,,,,,,,
2020-07-23 17:00:00,ITA,713,49,762,11642,12404,82,306,197842,35092,222279.0,23059.0,245338,6415041,3840789.0,,,,,,,,
2020-07-24 17:00:00,ITA,713,46,759,11542,12301,-103,252,198192,35097,222294.0,23296.0,245590,6468375,3869759.0,,,,,,,,
2020-07-25 17:00:00,ITA,731,41,772,11670,12442,141,275,198320,35102,222348.0,23516.0,245864,6520046,3897818.0,,,,,,,,
2020-07-26 17:00:00,ITA,735,44,779,11786,12565,123,255,198446,35107,222382.0,23736.0,246118,6560572,3922995.0,,,,,,,,
2020-07-27 17:00:00,ITA,740,45,785,11796,12581,16,170,198593,35112,222442.0,23844.0,246286,6586123,3942369.0,,,,,,,,
2020-07-28 17:00:00,ITA,749,40,789,11820,12609,28,212,198756,35123,222473.0,24015.0,246488,6634293,3967710.0,,,,,,,,
2020-07-29 17:00:00,ITA,731,38,769,11847,12616,7,289,199031,35129,222569.0,24207.0,246776,6690311,3998585.0,,,,,,,,
2020-07-30 17:00:00,ITA,748,47,795,11435,12230,-386,386,199796,35132,222720.0,24438.0,247158,6752169,4031981.0,,,,,,,,
2020-07-31 17:00:00,ITA,716,41,757,11665,12422,192,379,199974,35141,222744.0,24793.0,247537,6813113,4061667.0,,,,,,,,
2020-08-01 17:00:00,ITA,705,43,748,11709,12457,35,295,200229,35146,222815.0,25017.0,247832,6873496,4093572.0,,,,,,,,
2020-08-02 17:00:00,ITA,708,42,750,11706,12456,-1,239,200460,35154,222877.0,25193.0,248070,6916765,4118068.0,,,,,,,,
2020-08-03 17:00:00,ITA,734,41,775,11699,12474,18,159,200589,35166,222891.0,25338.0,248229,6940801,4131535.0,,,,,,,,
2020-08-04 17:00:00,ITA,761,41,802,11680,12482,8,190,200766,35171,222954.0,25465.0,248419,6984589,4155026.0,,,,,,,,
2020-08-05 17:00:00,ITA,764,41,805,11841,12646,164,384,200976,35181,223044.0,25759.0,248803,7041040,4184765.0,,,,,,,,
2020-08-06 17:00:00,ITA,762,42,804,11890,12694,48,402,201323,35187,223113.0,26091.0,249204,7099713,4216934.0,,,,,,,,
2020-08-07 17:00:00,ITA,779,42,821,12103,12924,230,552,201642,35190,223201.0,26555.0,249756,7158909,4247326.0,,,,,,,,
2020-08-08 17:00:00,ITA,771,43,814,12139,12953,29,347,201947,35203,223232.0,26871.0,250103,7212207,4273957.0,,,,,,,,
2020-08-09 17:00:00,ITA,763,45,808,12455,13263,310,463,202098,35205,223440.0,27126.0,250566,7249844,4296730.0,,,,,,,,
2020-08-10 17:00:00,ITA,779,46,825,12543,13368,105,259,202248,35209,223556.0,27269.0,250825,7276276,4307634.0,,,,,,,,
2020-08-11 17:00:00,ITA,801,49,850,12711,13561,193,412,202461,35215,223674.0,27563.0,251237,7316918,4329697.0,,,,,,,,
2020-08-12 17:00:00,ITA,779,53,832,12959,13791,230,481,202697,35225,223844.0,27869.0,251713,7369576,4357027.0,,,,,,,,
2020-08-13 17:00:00,ITA,786,55,841,13240,14081,290,523,202923,35231,224058.0,28177.0,252235,7420764,4382656.0,,,,,,,,
2020-08-14 17:00:00,ITA,771,56,827,13422,14249,168,574,203326,35234,224319.0,28490.0,252809,7467487,4407524.0,,,,,,,,
2020-08-15 17:00:00,ITA,764,55,819,13587,14406,157,629,203640,35392,224521.0,28917.0,253438,7520610,4433461.0,,,,,,,,
2020-08-16 17:00:00,ITA,787,56,843,13890,14733,327,479,203786,35396,224694.0,29221.0,253915,7557417,4455931.0,,,,,,,,
2020-08-17 17:00:00,ITA,810,58,868,13999,14867,134,320,203968,35400,224812.0,29423.0,254235,7588083,4477310.0,,,,,,,,
2020-08-18 17:00:00,ITA,843,58,901,14188,15089,222,403,204142,35405,224974.0,29662.0,254636,7642059,4509997.0,,,,,,,,
2020-08-19 17:00:00,ITA,866,66,932,14428,15360,271,642,204506,35412,225215.0,30063.0,255278,7713154,4551287.0,,,,,,,,
2020-08-20 17:00:00,ITA,883,68,951,15063,16014,654,845,204686,35418,225516.0,30602.0,256118,7790596,4600949.0,,,,,,,,
2020-08-21 17:00:00,ITA,919,69,988,15690,16678,664,947,204960,35427,225880.0,31185.0,257065,7862592,4645892.0,,,,,,,,
2020-08-22 17:00:00,ITA,924,64,988,16515,17503,825,1071,205203,35430,226320.0,31816.0,258136,7940266,4692505.0,,,,,,,,
2020-08-23 17:00:00,ITA,971,69,1040,17398,18438,935,1210,205470,35437,226810.0,32535.0,259345,8007637,4739968.0,,,,,,,,
2020-08-24 17:00:00,ITA,1045,65,1110,18085,19195,757,953,205662,35441,227128.0,33170.0,260298,8053551,4773326.0,,,,,,,,
2020-08-25 17:00:00,ITA,1058,66,1124,18590,19714,519,878,206015,35445,227292.0,33882.0,261174,8125892,4819124.0,,,,,,,,
2020-08-26 17:00:00,ITA,1055,69,1124,19629,20753,1039,1367,206329,35458,227723.0,34817.0,262540,8219421,4877178.0,,,,,,,,
2020-08-27 17:00:00,ITA,1131,67,1198,20734,21932,1179,1411,206554,35463,228123.0,35826.0,263949,8313445,4934818.0,,,,,,,,
2020-08-28 17:00:00,ITA,1178,74,1252,21783,23035,1103,1462,206902,35472,228553.0,36856.0,265409,8410510,4999953.0,,,,,,,,
2020-08-29 17:00:00,ITA,1168,79,1247,22909,24156,1121,1444,207224,35473,229002.0,37851.0,266853,8509618,5064247.0,,,,,,,,
2020-08-30 17:00:00,ITA,1251,86,1337,23868,25205,1049,1365,207536,35477,229527.0,38691.0,268218,8586341,5117788.0,,,,,,,,
2020-08-31 17:00:00,ITA,1288,94,1382,24696,26078,873,996,207653,35483,229832.0,39382.0,269214,8644859,5160371.0,,,,,,,,
2020-09-01 17:00:00,ITA,1380,107,1487,25267,26754,676,978,207944,35491,230102.0,40087.0,270189,8725909,5214766.0,,,,,,,,
2020-09-02 17:00:00,ITA,1437,109,1546,26271,27817,1063,1326,208201,35497,230504.0,41011.0,271515,8828868,5280948.0,,,,,,,,
2020-09-03 17:00:00,ITA,1505,120,1625,27290,28915,1098,1397,208490,35507,230950.0,41962.0,272912,8921658,5342150.0,,,,,,,,
2020-09-04 17:00:00,ITA,1607,121,1728,28371,30099,1184,1733,209027,35518,231587.0,43057.0,274644,9034743,5414708.0,,,,,,,,
2020-09-05 17:00:00,ITA,1620,121,1741,29453,31194,1095,1694,209610,35533,232219.0,44118.0,276337,9142401,5484345.0,,,,,,,,
2020-09-06 17:00:00,ITA,1683,133,1816,30262,32078,884,1297,210015,35541,232733.0,44901.0,277634,9219257,5538028.0,,,,,,,,
2020-09-07 17:00:00,ITA,1719,142,1861,31132,32993,915,1108,210238,35553,233115.0,45669.0,278784,9271810,5578731.0,,,,,,,,
2020-09-08 17:00:00,ITA,1760,143,1903,31886,33789,796,1370,210801,35563,233555.0,46598.0,280153,9364213,5636663.0,,,,,,,,
